"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
US48,"5/25/2024 9 p.m. EDT",70487.92,27229.67,37036.1,5789.07,1118,210887.02,76871.35,90253
US48,"5/25/2024 10 p.m. EDT",72850.92,16816.16,36268.61,7514.87,1133,206197.02,74031.08,90520
US48,"5/25/2024 11 p.m. EDT",76304.92,8956.58,36091.18,8274.83,1141,196870.96,69993.88,90645
US48,"5/26/2024 12 a.m. EDT",77228.93,2064.44,35143.18,10658.05,321,183379.78,66391.86,90883
US48,"5/26/2024 1 a.m. EDT",78189.92,705.64,32612.31,11205.14,325,168339.96,60568.25,90780
US48,"5/26/2024 2 a.m. EDT",78695.92,534.57,30868.15,10270.86,321,155845.56,56953.92,90891
US48,"5/26/2024 3 a.m. EDT",77813.92,336.57,29122.78,8272.81,317,145421.36,54332.25,91098
US48,"5/26/2024 4 a.m. EDT",78339.92,303.29,26967,6539.93,322,139452.42,52443.34,91316
US48,"5/26/2024 5 a.m. EDT",76461.03,251.26,25304.54,5788.82,324,134473.32,51114.18,91490
US48,"5/26/2024 6 a.m. EDT",74176.37,329.54,25120.71,5269.83,321,132977.46,50938.32,91477
US48,"5/26/2024 7 a.m. EDT",68479.64,2518.15,25606.51,4996.81,315,133503.52,51426.96,91569
US48,"5/26/2024 8 a.m. EDT",65898.52,7531.22,26852.96,5845.02,318,134971.46,50887.39,91763
US48,"5/26/2024 9 a.m. EDT",63739.99,18470.53,27296.47,6583.78,313,139028.62,51661.91,91883
US48,"5/26/2024 10 a.m. EDT",56534.31,33304.14,26337.65,7481.79,721,145342.52,54472.84,92049
US48,"5/26/2024 11 a.m. EDT",53842.08,47378.79,25927.49,6541.69,1186,154098.66,57366.83,92101
US48,"5/26/2024 12 p.m. EDT",50533.84,57943.05,25664.52,5296.8,1489,167485.52,63835.34,92189
US48,"5/26/2024 1 p.m. EDT",48623.4,63056.54,26944.69,3799.17,1418,178519.92,69615.4,92332
US48,"5/26/2024 2 p.m. EDT",48232.86,64303.2,29547.16,4183.16,1477,190207.56,73615.73,92443
US48,"5/26/2024 3 p.m. EDT",46847.41,64201.45,32919.27,3751.1,1473,199459.02,76232.63,92594
